Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2016-07-14,47.72465515136719,47.94667159005707,47.58256476611374,47.81346037176234,24545500
2016-07-15,47.68912887573242,47.95554790879649,47.2539751911564,47.91114530123611,32024400
2016-07-18,47.92002487182617,48.25749078999448,47.55591806643731,47.68912927794375,31433900
2016-07-19,47.14741134643555,47.86674583179941,47.00532096030587,47.69801116922528,53336500
2016-07-20,49.65175247192383,50.477653832636115,49.314286561986115,49.864889727595475,89893300
2016-07-21,49.55406951904297,49.93593807293603,49.51854607502918,49.713921629402954,32776700
2016-07-22,50.23787307739258,50.29115823546443,49.536300407436954,49.802722810094636,32157200
2016-07-25,50.37996292114258,50.388845474579725,49.962570989836706,50.149067347299855,25610600
2016-07-26,50.40660095214844,50.87727801432395,50.18458455661136,50.1934671095456,28079000
2016-07-27,49.90040588378906,50.442126453104635,49.82936239591405,50.27339520516269,32327500
2016-07-28,49.91816329956055,50.060253650763364,49.483013081121214,49.73167034880083,37550400
2016-07-29,50.335548400878906,50.40659187304991,49.776066236341514,49.962559161953735,30558700
2016-08-01,50.24675369262695,50.39772321978777,49.85600265724329,50.264512023597625,26003400
2016-08-02,50.24675369262695,50.53093441597792,50.00697557210555,50.486528425446906,35122000
2016-08-03,50.593101501464844,50.717430151260494,50.16683039315049,50.33556164820149,22075600
2016-08-04,50.96609115600586,51.081540648224085,50.326682753199535,50.44213224541776,26587700
2016-08-05,51.472286224365234,51.69430264533407,51.01937421617758,51.196988030492996,29335200
2016-08-08,51.561100006103516,51.58774089523203,51.31243928599644,51.561100006103516,19473500
2016-08-09,51.68543243408203,51.95185150786394,51.52558031227242,51.658788155312216,16920700
2016-08-10,51.525569915771484,51.79198893579707,51.34795610652055,51.64989856593665,15756900
2016-08-11,51.77423858642578,51.90744981954438,51.534460399433726,51.534460399433726,18162300
2016-08-12,51.45451736450195,51.67653375466451,51.17033665610998,51.534443400468525,21655200
2016-08-15,51.6143684387207,51.95183429380088,51.47227808727135,51.516680686905296,19283900
2016-08-16,51.32842254638672,51.4892709437306,51.17651206490423,51.480336436685334,20523500
2016-08-17,51.43564224243164,51.54287334011474,51.1407524627842,51.41776982468193,18856400
2016-08-18,51.471397399902344,51.56075951248959,51.17651095040454,51.31054900606134,14214300
2016-08-19,51.48927307128906,51.58756969692933,51.11396240118942,51.3194901598844,17271000
